"name_cell" "origin_space"
"589" "SS.sc7785994" "Caudal"
"590" "SS.sc7786617" "Rostral"
"591" "SS.sc7786527" "Rostral"
"592" "SS.sc7786631" "Rostral"
"593" "SS.sc7788120" "Caudal"
"594" "SS.sc7785956" "Caudal"
"595" "SS.sc7788143" "Caudal"
"596" "SS.sc7788210" "Caudal"
"597" "SS.sc7785858" "Caudal"
"598" "SS.sc7786121" "Caudal"
"599" "SS.sc7786204" "Caudal"
"600" "SS.sc7785352" "Yolk Sac"
"601" "SS.sc7785333" "Yolk Sac"
"602" "SS.sc7785283" "Yolk Sac"
"603" "SS.sc7785616" "Yolk Sac"
"604" "SS.sc7788189" "Caudal"
"605" "SS.sc7786803" "Rostral"
"606" "SS.sc7786081" "Caudal"
"607" "SS.sc7786075" "Caudal"
"608" "SS.sc7786764" "Rostral"
"609" "SS.sc7788261" "Caudal"
"610" "SS.sc7786200" "Caudal"
"611" "SS.sc7786301" "Caudal"
"612" "SS.sc7785628" "Rostral"
"613" "SS.sc7785997" "Caudal"
"614" "SS.sc7786269" "Caudal"
"615" "SS.sc7785766" "Caudal"
"616" "SS.sc7786642" "Rostral"
"617" "SS.sc7786020" "Caudal"
"618" "SS.sc7788149" "Caudal"
"619" "SS.sc7785896" "Caudal"
"620" "SS.sc7785588" "Rostral"
"621" "SS.sc7785475" "Yolk Sac"
"622" "SS.sc7785479" "Yolk Sac"
"623" "SS.sc7786256" "Caudal"
"624" "SS.sc7785405" "Yolk Sac"
"625" "SS.sc7785676" "Caudal"
"626" "SS.sc7786440" "Caudal"
"627" "SS.sc7785863" "Caudal"
"628" "SS.sc7785480" "Yolk Sac"
"629" "SS.sc7785948" "Caudal"
"630" "SS.sc7786178" "Caudal"
"631" "SS.sc7786537" "Rostral"
"632" "SS.sc7786699" "Rostral"
"633" "SS.sc7786816" "Rostral"
"634" "SS.sc7786504" "Rostral"
"635" "SS.sc7785772" "Caudal"
"636" "SS.sc7785437" "Rostral"
"637" "SS.sc7785281" "Yolk Sac"
"638" "SS.sc7785304" "Yolk Sac"
"639" "SS.sc7785278" "Yolk Sac"
"640" "SS.sc7785515" "Rostral"
"641" "SS.sc7788355" "Caudal"
"642" "SS.sc7786515" "Rostral"
"643" "SS.sc7785993" "Caudal"
"644" "SS.sc7788171" "Caudal"
"645" "SS.sc7785945" "Caudal"
"646" "SS.sc7786218" "Caudal"
"647" "SS.sc7785903" "Rostral"
"648" "SS.sc7788139" "Caudal"
"649" "SS.sc7788094" "Caudal"
"650" "SS.sc7785567" "Yolk Sac"
"651" "SS.sc7786324" "Caudal"
"652" "SS.sc7786788" "Rostral"
"653" "SS.sc7785614" "Yolk Sac"
"654" "SS.sc7786713" "Rostral"
"655" "SS.sc7786498" "Rostral"
